timestamp,match_id,team_a,team_b,predicted_winner,confidence,value_flag,actual_winner_x,team_a_heroes,team_b_heroes,actual_winner_y
2025-04-13 02:09:02,8252515077.0,Tundra Esports,Team Spirit,Team Spirit,0.69,0.0,Team Spirit,,,Dire
2025-04-13 00:53:01,8252443115.0,Team Spirit,Tundra Esports,Team Spirit,0.4464999999999999,0.0,Team Spirit,,,Radiant
2025-04-12 23:14:18,8252343416.0,Air Defence,Romashku,Air Defence,0.4303333333333333,0.0,Romashku,,,Dire
2025-04-12 23:34:48,8252320232.0,Team Spirit,Tundra Esports,Team Spirit,0.4464999999999999,0.0,Tundra Esports,,,Dire
2025-04-12 22:24:27,8252279004.0,Team Poteryshka,Ni.VI,Ni.VI,0.68,0.0,Ni.VI,"[37, 49, 74, 107, 111]","[22, 42, 64, 90, 104]",Ni.VI
2025-04-12 22:09:21,8252260988.0,Romashku,Air Defence,Air Defence,0.4823333333333334,0.0,Romashku,,,Radiant
2025-04-12 21:06:00,8252155975.0,BetBoom Team,Team Falcons,BetBoom Team,0.83,1.0,BetBoom Team,,,Radiant
2025-04-12 20:50:12,8252150488.0,Air Defence,Romashku,Air Defence,0.4303333333333333,0.0,Air Defence,,,Radiant
2025-04-12 19:57:03,8252074075.0,Shinigami Gaming,Prodigy of God,Shinigami Gaming,0.7,0.0,Shinigami Gaming,,,
2025-04-12 19:13:24,8252008025.0,Prodigy of God,Shinigami Gaming,Prodigy of God,0.63,0.0,Prodigy of God,"[38, 68, 74, 109, 138]","[2, 39, 44, 60, 131]",Prodigy of God
2025-04-12 19:12:57,8252006042.0,5DOGS,KRBKA team ,5DOGS,0.71,1.0,5DOGS,,,
2025-04-12 19:05:02,8251993176.0,Ni.VI,Arrancars,Ni.VI,0.52,0.0,Ni.VI,"[14, 55, 84, 90, 91]","[10, 17, 31, 64, 98]",Ni.VI
2025-04-12 19:10:37,8251988181.0,Zero Tenacity,Team Lynx,Zero Tenacity,0.4515,0.0,Zero Tenacity,,,
2025-04-12 18:23:52,8251927775.0,SevenGaming-A,躺赢狗战队,躺赢狗战队,0.67,0.0,躺赢狗战队,,,
2025-04-12 18:21:18,8251909495.0,L1GA TEAM,Xtreme Gaming,Xtreme Gaming,0.58,0.0,Xtreme Gaming,,,Dire
2025-04-12 18:08:53,8251903286.0,Mine GG Soo BiGggggg！,帅的惊动D,Mine GG Soo BiGggggg！,0.7,0.0,Mine GG Soo BiGggggg！,"[6, 26, 68, 96, 107]","[29, 30, 46, 71, 102]",Mine GG Soo BiGggggg！
2025-04-12 17:53:57,8251879029.0,SevenGaming-A,Dire,SevenGaming-A,0.54,0.0,SevenGaming-A,,,
2025-04-12 17:46:51,8251867592.0,Radiant,Dire,Dire,0.57,0.0,Dire,,,
2025-04-12 17:20:39,8251825913.0,龙律队,还不走,龙律队,0.65,0.0,龙律队,"[32, 69, 87, 93, 138]","[31, 46, 70, 121, 129]",龙律队
2025-04-12 17:29:09,8251823901.0,Xtreme Gaming,L1GA TEAM,Xtreme Gaming,0.7383333333333333,1.0,Xtreme Gaming,,,Radiant
2025-04-12 17:02:11,8251797616.0,one two three,WolfSmash.Gaming,WolfSmash.Gaming,0.55,0.0,WolfSmash.Gaming,"[41, 52, 85, 87, 129]","[48, 51, 55, 64, 106]",WolfSmash.Gaming
2025-04-12 17:01:55,8251795377.0,Zero Tenacity,Team Lynx,Zero Tenacity,0.4515,0.0,Team Lynx,"[13, 19, 33, 64, 100]","[10, 21, 23, 29, 68]",Team Lynx
2025-04-12 16:53:30,8251781597.0,躺赢狗战队,SevenGaming-A,躺赢狗战队,0.69,0.0,躺赢狗战队,"[19, 22, 51, 54, 98]","[31, 42, 43, 108, 131]",躺赢狗战队
2025-04-12 16:46:12,8251772905.0,Ghost Sheep,Nethercore,Ghost Sheep,0.68,0.0,Ghost Sheep,"[11, 20, 22, 30, 60]","[21, 35, 42, 68, 135]",Ghost Sheep
2025-04-12 16:14:22,8251724562.0,还不走,龙律队,龙律队,0.7,0.0,龙律队,,,
2025-04-12 16:04:56,8251716749.0,WolfSmash.Gaming,one two three,WolfSmash.Gaming,0.58,0.0,WolfSmash.Gaming,,,
2025-04-12 15:54:51,8251703648.0,Nethercore,Ghost Sheep,Nethercore,0.79,1.0,Nethercore,,,
2025-04-12 16:04:35,8251686994.0,1w Team,Virtus.pro,Virtus.pro,0.4740000000000001,0.0,Virtus.pro,,,Dire
2025-04-12 15:44:14,8251679917.0,Team Lynx,Bikini Bottom,Team Lynx,0.4715714285714286,0.0,Team Lynx,,,
2025-04-12 14:28:10,8251597258.0,Virtus.pro,1w Team,Virtus.pro,0.65,0.0,Virtus.pro,,,Radiant
2025-04-12 13:53:14,8251562061.0,Air Defence,Nethercore,Nethercore,0.48,0.0,Nethercore,,,Dire
2025-04-12 13:34:08,8251540421.0,Shadow Avengers,Wiser Warriors,Shadow Avengers,0.6,0.0,Shadow Avengers,,,Radiant
2025-04-12 13:00:27,8251503792.0,Team Lynx,Bikini Bottom,Team Lynx,0.4715714285714286,0.0,Bikini Bottom,,,
2025-04-12 13:00:20,8251494401.0,1w Team,Virtus.pro,Virtus.pro,0.4740000000000001,0.0,1w Team,,,Radiant
2025-04-12 12:39:39,8251478138.0,Wiser Warriors,Shadow Avengers,Shadow Avengers,0.62,0.0,Shadow Avengers,,,Dire
2025-04-12 12:34:59,8251476597.0,Nethercore,Air Defence,Nethercore,0.71,1.0,Nethercore,,,Radiant
2025-04-12 11:50:10,8251431694.0,LSG,Bright Crusaders,LSG,0.67,0.0,LSG,,,Radiant
2025-04-12 11:38:16,8251416641.0,Ivory,Yangon Galacticos,Ivory,0.71,1.0,Ivory,,,
2025-04-12 11:26:01,8251406028.0,Eye Gaming,Shinigami Gaming,Shinigami Gaming,0.77,1.0,Shinigami Gaming,,,
2025-04-12 11:09:44,8251390578.0,Bright Crusaders,LSG,LSG,0.66,0.0,LSG,,,Dire
2025-04-12 10:21:19,8251348664.0,Foxy gaming,Mad Monkeys,Foxy gaming,0.8,1.0,Foxy gaming,,,Radiant
2025-04-12 10:16:47,8251345482.0,Shinigami Gaming,Eye Gaming,Eye Gaming,0.66,0.0,Eye Gaming,,,
2025-04-12 10:06:13,8251332094.0,Yangon Galacticos,Ivory,Ivory,0.4748333333333333,0.0,Yangon Galacticos,,,
